participant;level;emoji;image;target_emotion;model_probability;label_1;label_2;label_3;success_labeler_1;success_labeler_2;success_labeler_3;agreement;include_in_dataset
1;1;0;1700478995850.png;Anger;0.512;Anger;Anger;Anger;1;1;1;3;1
1;1;1;1700478998549.png;Sadness;0.919;Sadness;Sadness;Sadness;1;1;1;3;1
1;1;2;1700479001137.png;Happiness;0.8944;Happiness;Happiness;Happiness;1;1;1;3;1
1;1;3;1700479004312.png;Anger;0.3751;Neutral;Anger;Anger;0;1;1;2;1
1;1;4;1700479005401.png;Anger;0.4215;Anger;Anger;Anger;1;1;1;3;1
1;1;5;1700479007738.png;Sadness;0.611;Sadness;Sadness;Sadness;1;1;1;3;1
1;1;6;1700479010787.png;Happiness;0.9265;Happiness;Happiness;Happiness;1;1;1;3;1
1;1;7;1700479013739.png;Sadness;0.418;Neutral;Surprise;Neutral;0;0;0;0;0
1;1;8;1700479015441.png;Happiness;0.8438;Happiness;Happiness;Happiness;1;1;1;3;1
1;2;0;1700479105264.png;Neutral;0.4612;Neutral;Neutral;Neutral;1;1;1;3;1
1;2;1;1700479106931.png;Disgust;0.774;Sadness;Disgust;Disgust;0;1;1;2;1
1;2;2;1700479109312.png;Surprise;0.872;Surprise;Surprise;Surprise;1;1;1;3;1
1;2;3;1700479111705.png;Fear;0.8795;Fear;Fear;Fear;1;1;1;3;1
1;2;4;1700479113933.png;Disgust;0.856;Disgust;Disgust;Disgust;1;1;1;3;1
1;2;5;1700479117593.png;Disgust;0.9425;Fear;Disgust;Disgust;0;1;1;2;1
1;2;6;1700479119890.png;Fear;0.6691;Surprise;Fear;Fear;0;1;1;2;1
1;2;7;1700479121536.png;Neutral;0.5183;Happiness;Neutral;Neutral;0;1;1;2;1
1;2;8;1700479124206.png;Surprise;0.9133;Surprise;Surprise;Surprise;1;1;1;3;1
1;2;9;1700479126492.png;Surprise;0.3725;Surprise;Surprise;Surprise;1;1;1;3;1
1;2;10;1700479129747.png;Fear;0.6894;Fear;Fear;Fear;1;1;1;3;1
1;2;11;1700479131977.png;Neutral;0.5645;Neutral;Neutral;Neutral;1;1;1;3;1
1;3;0;1700479238544.png;Neutral;0.4547;Neutral;Neutral;Neutral;1;1;1;3;1
1;3;1;1700479240547.png;Disgust;0.9438;Disgust;Disgust;Disgust;1;1;1;3;1
